#{"t_start": 1770295461.3780954, "env_id": "None"}
r,l,t
50.986,193,60.419631
33.706,75,60.486352
81.852,205,60.673541
49.897,151,60.811954
14.698,76,60.877843
26.271,117,60.981283
43.066,87,61.063295
16.592,86,61.139748
18.387,105,61.236127
33.577,136,61.358448
20.088,87,61.438218
31.325,113,63.160943
15.876,60,63.219776
85.813,206,63.416343
49.887,105,63.521408
25.247,119,63.636534
18.915,57,63.690792
61.463,194,63.879152
16.311,66,63.944303
6.968,50,63.992337
57.796,208,64.520451
13.228,73,64.587325
2.613,36,64.619321
62.861,155,64.762937
51.178,172,64.914462
42.628,130,65.031157
20.941,55,65.083438
53.178,124,65.197698
53.739,216,66.95288
18.057,40,66.990476
0.427,7,66.998111
61.444,145,67.133068
54.029,186,67.298248
23.518,94,67.382549
3.747,24,67.405171
51.438,243,67.617256
29.2,124,67.72723
50.728,168,67.87844
48.338,206,68.058854
2.343,15,68.073417
56.371,250,68.291559
23.865,108,68.386998
1.22,26,68.411302
42.315,113,68.514921
47.826,207,68.696466
66.113,225,70.437227
37.179,77,70.505089
83.386,295,70.765311
33.283,69,70.828403
47.876,106,70.927473
6.935,53,70.979248
47.368,107,71.080917
57.919,198,71.256127
59.14,226,71.472547
17.682,78,71.542048
31.182,77,71.61662
16.212,75,71.687049
56.261,260,71.921919
62.708,218,72.125999
58.393,199,73.817891
72.806,208,74.009488
35.83,63,74.073293
62.895,249,74.296723
0.851,14,74.310315
73.846,301,74.581853
28.733,72,74.648171
89.758,308,74.926286
74.019,235,75.141413
79.192,316,75.424125
63.473,242,77.135347
3.312,18,77.151796
17.115,84,77.228231
15.689,77,77.297749
51.041,188,77.461378
15.678,78,77.531732
54.139,79,77.60782
18.574,88,77.686451
17.649,81,77.756047
8.449,52,77.804631
14.274,69,77.864656
21.437,101,77.954635
57.582,231,78.155077
15.309,66,78.214844
81.111,227,78.416491
88.21,265,78.653854
55.187,221,80.390699
5.432,53,80.452142
10.921,55,80.512644
6.186,30,80.542392
36.561,89,80.630973
49.909,103,80.733347
3.191,29,80.762692
13.239,72,80.833508
41.59,133,80.962357
42.689,124,81.082933
8.906,56,81.140472
49.044,137,81.811172
33.177,78,81.888891
20.776,70,81.956623
45.142,175,82.117975
24.718,76,82.188962
13.239,72,82.25598
22.599,132,82.375687
51.698,77,82.448701
36.771,116,82.558475
62.712,169,82.718017
12.936,54,82.769178
10.365,60,82.823793
12.149,80,84.221533
20.347,109,84.322853
72.67,173,84.485876
28.692,28,84.515716
64.045,233,84.729222
42.225,120,84.838295
82.661,271,85.081384
18.304,67,85.144751
119.895,342,85.456898
56.611,179,85.616414
50.955,98,85.70971
71.583,181,85.881485
52.439,149,86.018756
39.237,72,86.092022
25.093,133,87.518415
43.96,146,87.654657
50.335,157,87.801634
100.274,449,88.213545
51.398,151,88.373142
8.796,66,88.434562
26.717,122,88.549029
8.438,53,88.59729
58.54,137,88.720493
3.334,16,88.735744
39.915,102,88.829476
9.754,70,88.893813
16.471,97,88.981943
37.183,79,89.053658
39.313,112,89.1586
3.125,35,89.195073
65.94,291,90.865849
11.031,45,90.90737
34.772,164,91.05966
29.668,127,91.176783
37.921,151,91.314714
118.906,438,91.71533
53.219,167,91.874331
16.278,69,91.939934
82.388,295,92.230748
7.502,47,92.278308
112.75,404,94.14696
10.745,71,94.209752
99.257,356,94.529904
51.946,99,94.626104
24.333,111,94.728684
23.177,125,94.842442
14.043,90,94.927527
83.496,236,95.14895
35.125,83,95.229989
47.226,216,95.423174
22.874,107,95.51967
49.782,162,95.661991
59.543,137,95.787356
39.062,89,95.868719
78.742,214,97.578818
14.742,24,97.602781
32.382,108,97.702366
38.554,139,97.829056
49.285,211,98.023473
50.199,219,98.774996
7.359,60,98.831535
107.381,344,99.145705
62.587,277,99.393712
18.293,68,99.457209
25.517,140,99.580808
19.097,86,99.661644
10.618,37,99.695939
20.121,84,99.778896
77.462,240,101.437113
76.367,202,101.632954
81.611,224,101.842805
17.038,91,101.930659
13.806,66,101.992167
26.441,52,102.053088
43.496,142,102.185411
58.501,141,102.355138
21.921,55,102.414089
37.854,108,102.534434
72.222,312,102.846496
103.133,223,103.073742
119.092,369,103.431858
112.114,368,105.314365
12.6,39,105.352865
19.675,79,105.421022
11.956,52,105.47051
108.293,303,105.771376
72.645,175,105.955635
56.655,127,106.072978
59.941,147,106.217564
2.178,30,106.246209
6.065,41,106.286742
42.623,83,106.368155
38.004,94,106.453573
45.473,95,106.545009
4.182,30,106.576463
5.674,31,106.605947
14.494,49,106.651916
20.578,88,106.735008
1.754,23,106.756903
8.972,50,106.80563
35.437,50,106.854702
38.648,176,108.297806
18.695,77,108.37009
71.963,97,108.464761
68.719,168,108.620119
64.914,245,108.85062
56.915,149,108.98491
27.438,102,109.078052
15.733,73,109.143838
9.192,30,109.174715
93.645,272,109.422164
20.319,66,109.486709
90.981,285,109.751928
30.83,158,109.899416
17.181,78,109.970375
100.222,358,111.520268
19.053,90,111.60067
36.087,86,111.679936
64.23,168,111.833647
7.915,55,111.886727
